*************************************************************************
*							VERSION CONTROL LOG							*
*************************************************************************

Version 0.0.0.0 | Base Files.
Version 0.0.0.1 | Grid implementation.
Version 0.0.0.2 | Fixed grid number possitioning. Condenced code. Added comments. Tidied code.
Version 0.0.0.3 | Changed game FPS to 60. Added and modified comments.
Version 0.0.0.4 | You can now make the grid any thickness. All code now takes into consideration the line thickness.
Version 0.0.0.5 | Drastically reduced amount of code needed to manipulate grid size and location.
Version 0.0.0.6 | Removed debug message about grid size being out of bounds as this is not providing any benefit. Removed check X and Y limit variables and inserted them in the if statement directly. 
Version 0.0.0.7 | Commit before palette implementation.
Version 0.0.0.8 | Started implementation of master palette code.
Version 0.0.0.9 | Started to impliment move code for palette.
Version 0.0.1.0 | Refined code for moving, expanding and reducing palette size and location.
Version 0.0.1.1 | Expanding more than one object at a time bug fixed.
Version 0.0.1.2 | Expanding objects now works in one direction.
Version 0.0.1.3 | Tidy code. Updated graphics. Added comments.
Version 0.0.1.4 | Shortened point in rectangle variables for border detection. Variables are now inserted directly into function to save on line numbers.
Version 0.0.1.5 | Diagonal palette scaling now works but need to solve flickering bug. 
Version 0.0.1.6 | Fixed flickering problem when expanding palette scale.
Version 0.0.1.7 | Secondary sprite scale now works. Problem with border covering invisible area seems to have been resolved organically.
Version 0.0.1.8 | Minimum and maximum palette scale limits now work.
Version 0.0.1.9 | Fixed palette border issues.
